,cik,year_end
830,1048695, 0930
831,1401564, 1231
832,922358, 0731
833,36966, 1231
834,860413, 1231
835,814547, 0930
836,1056288, 1231
837,1136893, 1231
838,862831, 1231
839,798354, 1231
840,35527, 1231
841,1035983, 1231
842,69891, 0501
843,850209, 0201
844,1162194, 1231
845,866374, 40
846,740663, 1231
847,354908, 1231
848,891482, 1231
849,1128928, 1228
850,1641991, 1231
851,1124198, 1231
852,30625, 1231
853,1175454, 1231
854,1084869, 0628
855,29, 40
856,702325, 1231
857,37785, 1231
858,709337, 1231
859,2, 40
860,1231, 40
861,1408710, 40
862,37808, 1231
863,1331875, 1231
864,1231, 40
865,35214, 1231
866,1178879, 1231
867,1406587, 0930
868,1039399, 1228
869,1023313, 1231
870,883569, 1228
871,921825, 1231
872,1399935, 0201
873,834285, 1231
874,40, NULL
875,712534, 1231
876,11, 40
877,34903, 1231
878,1435508, 0930
879,1069394, 40
880,1274494, 1231
881,37914, 1102
882,1031316, 1231
883,277509, 1231
884,352825, 1231
885,846913, 1231
886,1681459, 40
887,928054, 1231
888,1262039, 1231
889,20520, 1231
890,39368, 1130
891,700564, 1231
892,811532, 1231
893,1159281, 1231
894,912728, 1231
895,1398659, 40
896,714395, 1231
897,1089872, 1231
898,1321741, 0331
899,1133416, 1231
900,1328919, 40
901,868671, 1231
902,1476765, 14
903,1060349, 1231
904,1494904, 40
905,923120, 0831
906,1444363, 1231
907,1635718, 1231
908,18498, 0201
909,40533, 1231
910,1699150, 1231
911,1386278, 1231
912,943861, 1231
913,40545, 1231
914,43920, 1031
915,1022321, 1231
916,64472, 0930
917,923796, 1231
918,886744, 1231
919,912463, 0201
920,1392380, 1231
921,50725, 0930
922,6, 40
923,1342287, 0630
924,42888, 1227
925,1131324, 1231
926,1282977, 1231
927,716314, 0331
928,30, 40
929,1031623, 1231
930,1719489, 0930
931,821002, 0131
932,9, 40
933,882095, 1231
934,1231, 40
935,40704, 0529
936,1143513, 0930
937,1372020, 1231
938,0, 40
939,0, 40
940,746210, 1231
941,1323468, 1231
942,1385613, 40
943,41719, 1231
944,1366246, 1231
945,24741, 1231
946,1467858, 1231
947,1326380, 0201
948,1231, 40
949,1275229, 1231
950,1502034, 1231
951,1528356, 1231
952,1326200, 1
953,1487371, 1231
954,1474735, 1231
955,355811, 1231
956,1276520, 1231
957,1231, 40
958,756894, 40
959,1672013, 1231
960,1234006, 1231
961,1652044, 1231
962,1160791, 1231
963,40987, 1231
964,1031203, 1231
965,1408075, 1231
966,17, 40
967,1123360, 1231
968,874499, 1231
969,1309402, 1231
970,1500435, 1231
971,39911, 0202
972,70415, 1231
973,1045309, 1231
974,42682, 1231
975,1438569, 40
976,1121788, 40
977,1490281, 1231
978,886982, 1231
979,1366868, 1231
980,1112920, 1231
981,854560, 1231
982,1126741, 0331
983,1131399, 40
984,1430725, 40
985,12, 40
986,903571, 40
987,42582, 1231
988,1273441, 40
989,825324, 0924
990,892553, 1231
991,43196, 1231
992,1171662, 1231
993,1052752, 1231
994,861459, 1231
995,944480, 1231
996,1012620, 1231
997,1528396, 0731
998,277135, 1231
999,1468174, 1231
1000,1172222, 1231
1001,313143, 0328
1002,1109242, 1231
1003,910406, 0630
1004,45012, 1231
1005,819913, 1231
1006,1159036, 1231
1007,46080, 1229
1008,858655, 0930
1009,49196, 1231
1010,1436425, 1231
1011,1359841, 1228
1012,1123494, 1231
1013,1231, 40
1014,706129, 1231
1015,860730, 1231
1016,1691303, 1231
1017,1403431, 0103
1018,1057379, 1227
1019,765880, 1231
1020,731012, 1231
1021,354950, 0202
1022,925528, 1231
1023,354707, 1231
1024,1339605, 1231
1025,46619, 1031
1026,916789, 40
1027,1283140, 1231
1028,4447, 1231
1029,48039, 1231
1030,1046025, 1231
1031,1498828, 1231
1032,45919, 1231
1033,1417398, 0930
1034,1017480, 0201
1035,874766, 1231
1036,1501585, 1231
1037,1287808, 1231
1038,1231, 40
1039,921082, 1231
1040,719413, 1231
1041,1180262, 40
1042,851310, 1231
1043,866829, 1231
1044,331, 40
1045,850141, 1231
1046,1518715, 1231
1047,1196501, 1231
1048,48287, 1228
1049,788965, 1231
1050,1077688, 0131
1051,793952, 1231
1052,3, 40
1053,859737, 0928
1054,1331520, 1231
1055,1646228, 0125
1056,773840, 1231
1057,1131227, 1231
1058,357294, 1031
1059,46765, 0930
1060,1482512, 1231
1061,47217, 1031
1062,899749, 1231
1063,12659, 0430
1064,47518, 0930
1065,48465, 1027
1066,1487428, 1231
1067,45876, 1231
1068,1000228, 1228
1069,1066605, 1231
1070,1038133, 1231
1071,1210708, 1231
1072,1070750, 1231
1073,1095565, 1231
1074,47111, 1231
1075,1063344, 1231
1076,1053352, 1231
1077,1280784, 19
1078,1265131, 1231
1079,24, 40
1080,799233, 1231
1081,920112, 1231
1082,1657853, 1231
1083,940942, 1231
1084,49071, 1231
1085,1307954, 1231
1086,1289848, 1231
1087,216085, 1231
1088,1356949, 1231
1089,717605, 1231
1090,1492426, 40
1091,1057060, 0930
1092,1231, 40
1093,917520, 1231
1094,21, 1231
1095,39311, 1231
1096,933141, 1231
1097,1381197, 1231
1098,51143, 1231
1099,331, 40
1100,749660, 1231
1101,1571949, 1231
1102,1362004, 1231
1103,531, 40
1104,857737, 1231
1105,883984, 1231
1106,1057877, 1231
1107,1405495, 1231
1108,1040896, 1231
1109,861838, 1231
1110,4187, 1231
1111,874716, 1231
1112,49728, 0930
1113,813762, 1231
1114,832101, 1231
1115,51253, 1231
1116,1326205, 0331
1117,1, 40
1118,764401, 0928
1119,88790, 1231
1120,820318, 0630
1121,1110803, 1229
1122,921582, 40
1123,855654, 1231
1124,1058811, 1231
1125,722830, 1231
1126,1231, 40
1127,1231, 40
1128,1056386, 1231
1129,879169, 1231
1130,776901, 1231
1131,1113148, 1231
1132,1138639, 1228
1133,1337013, 1231
1134,12, 40
1135,1497645, 1231
1136,1055726, 1231
1137,903651, 1231
1138,1104506, 1231
1139,1609550, 1231
1140,789460, 1231
1141,50863, 1228
1142,913760, 0930
1143,1036262, 1231
1144,896878, 0731
1145,829323, 1231
1146,1036044, 1231
1147,1350381, 1231
1148,7, 40
1149,866609, 1231
1150,1054905, 1231
1151,51434, 1231
1152,822663, 1231
