,0
591,"['0000927971', '40']"
592,BMRC
593,"['0001403475', '1231']"
594,BMRN
595,"['0001048477', '1231']"
596,BMTC
597,"['0000802681', '1231']"
598,BMY
599,"['0000014272', '1231']"
600,BNS
601,"['0000009631', '40']"
602,BOCH
603,"['0000702513', '1231']"
604,BOH
605,"['0000046195', '1231']"
606,BOKF
607,"['0000875357', '1231']"
608,BOOM
609,"['0000034067', '1231']"
610,BOOT
611,"['0001610250', '0328']"
612,BOX
613,"['0001372612', '0131']"
614,BP
615,"['26', '40']"
616,BPFH
617,"['0000821127', '1231']"
618,BPOP
619,"['0000763901', '1231']"
620,BR
621,"['0001383312', '0630']"
622,BRC
623,"['0000746598', '0731']"
624,BREW
625,"['0000892222', '1231']"
626,BRFS
627,"['08', '40']"
628,BRKL
629,"['0001049782', '1231']"
630,BRKR
631,"['0001109354', '1231']"
632,BRKS
633,"['0000933974', '0930']"
634,BRO
635,"['0000079282', '1231']"
636,BRT
637,"['0000014846', '1231']"
638,BRY
639,"['0001705873', '1231']"
640,BSAC
641,"['25', '40']"
642,BSBR
643,"['1231', '40']"
644,BSET
645,"['0000010329', '1130']"
646,BSRR
647,"['0001130144', '1231']"
648,BSTC
649,"['0000875622', '1231']"
650,BSX
651,"['0000885725', '1231']"
652,BTE
653,"['16', '40']"
654,BTN
655,"['0000946454', '1231']"
656,BTU
657,"['0001064728', '1231']"
658,BUD
659,"['04', '40']"
660,BUSE
661,"['0000314489', '1231']"
662,BV
663,"['0001734713', '0930']"
664,BVN
665,"['1231', '40']"
666,BWA
667,"['0000908255', '1231']"
668,BWEN
669,"['0001120370', '1231']"
670,BX
671,"['0001393818', '1231']"
672,BXG
673,"['0000778946', '1231']"
674,BXP
675,"['0001037540', '1231']"
676,BXS
677,"['1231', '1231']"
678,BYD
679,"['0000906553', '1231']"
680,BZH
681,"['0000915840', '0930']"
682,C
683,"['0000831001', '1231']"
684,CAAS
685,"['0001157762', '40']"
686,CAC
687,"['0000750686', '1231']"
688,CACC
689,"['0000885550', '1231']"
690,CACI
691,"['0000016058', '0630']"
692,CAE
693,"['8', '40']"
694,CAG
695,"['0000023217', '0531']"
696,CAH
697,"['0000721371', '0630']"
698,CAJ
699,"['0000016988', '40']"
700,CAKE
701,"['0000887596', '1231']"
702,CALM
703,"['0000016160', '0530']"
704,CALX
705,"['0001406666', '1231']"
706,CAMP
707,"['0000730255', '0228']"
708,CAMT
709,"['1231', '40']"
710,CAR
711,"['0000723612', '1231']"
712,CARB
713,"['0001340127', '1231']"
714,CASH
715,"['0000907471', '0930']"
716,CASY
717,"['0000726958', '0430']"
718,CAT
719,"['0000018230', '1231']"
720,CATM
721,"['0001671013', '40']"
722,CATY
723,"['0000861842', '1231']"
724,CB
725,"['0000896159', '40']"
726,CBB
727,"['0000716133', '1231']"
728,CBD
729,"['17', '40']"
730,CBL
731,"['0000910612', '1231']"
732,CBLI
733,"['0001318641', '1231']"
734,CBM
735,"['0000820081', '1231']"
736,CBNK
737,"['0001419536', '40']"
738,CBOE
739,"['0001374310', '1231']"
740,CBPO
741,"['0001369868', '40']"
742,CBRL
743,"['0001067294', '0802']"
744,CBS
745,"['0000813828', '1231']"
746,CBSH
747,"['0000022356', '1231']"
748,CBT
749,"['0000016040', '0930']"
750,CBU
751,"['0000723188', '1231']"
752,CBZ
753,"['0000944148', '1231']"
754,CCBG
755,"['0000726601', '1231']"
756,CCC
757,"['1231', '9']"
758,CCI
759,"['0001051470', '1231']"
760,CCJ
761,"['1231', '40']"
762,CCK
763,"['0001219601', '1231']"
764,CCL
765,"['0000815097', '1130']"
766,CCM
767,"['9', '40']"
768,CCMP
769,"['0001102934', '0930']"
770,CCNE
771,"['0000736772', '1231']"
772,CCO
773,"['0001334978', '1231']"
774,CCOI
775,"['0001158324', '1231']"
776,CCRN
777,"['0001141103', '1231']"
778,CCS
779,"['0001576940', '1231']"
780,CCU
781,"['05', '40']"
782,CCUR
783,"['0000749038', '0630']"
784,CCXI
785,"['0001340652', '1231']"
786,CDE
787,"['0000215466', '1231']"
788,CDNS
789,"['0000813672', '1228']"
790,CDR
791,"['0000761648', '1231']"
792,CDTI
793,"['0000949428', '1231']"
794,CDXS
795,"['0001200375', '1231']"
796,CE
797,"['0001306830', '1231']"
798,CECE
799,"['0000003197', '1231']"
800,CECO
801,"['0001046568', '1231']"
802,CEL
803,"['1231', '40']"
804,CELG
805,"['0000816284', '1231']"
806,CENT
807,"['0000887733', '0928']"
808,CENTA
809,"['0000887733', '0928']"
810,CENX
811,"['0000949157', '1231']"
812,CERN
813,"['0000804753', '1228']"
814,CERS
815,"['0001020214', '1231']"
816,CETV
817,"['0000925645', '40']"
818,CEVA
819,"['0001173489', '1231']"
820,CF
821,"['0001324404', '1231']"
822,CFFN
823,"['0001074433', '1022']"
824,CFR
825,"['0000039263', '1231']"
826,CFX
827,"['0001420800', '1231']"
828,CG
829,"['0001527166', '1231']"
830,CGEN
831,"['1231', '40']"
832,CGNX
833,"['0000851205', '1231']"
834,CHCO
835,"['0000726854', '1231']"
836,CHD
837,"['0000313927', '1231']"
838,CHDN
839,"['0000020212', '1231']"
840,CHE
841,"['0000019584', '1231']"
842,CHEF
843,"['0001517175', '1228']"
844,CHH
845,"['0001046311', '1231']"
846,CHK
847,"['0000895126', '1231']"
848,CHKP
849,"['1231', '40']"
850,CHKR
851,"['0001524769', '1231']"
852,CHRS
853,"['0001512762', '1231']"
854,CHRW
855,"['0001043277', '1231']"
856,CHS
857,"['0000897429', '0201']"
858,CHTR
859,"['0001091667', '1231']"
860,CI
861,"['0001739940', '1231']"
862,CIA
863,"['0000024090', '1231']"
864,CIB
865,"['1231', '40']"
866,CIDM
867,"['0001173204', '0331']"
868,CIEN
869,"['0000936395', '1031']"
870,CIG
871,"['5', '40']"
872,CIM
873,"['0001409493', '1231']"
874,CINF
875,"['0000020286', '1231']"
876,CIR
877,"['0001091883', '1231']"
878,CIT
879,"['0001171825', '1231']"
880,CKH
881,"['0000859598', '1231']"
882,CL
883,"['0000021665', '1231']"
884,CLB
885,"['0001000229', '40']"
886,CLCT
887,"['0001089143', '0630']"
888,CLDT
889,"['0001476045', '1231']"
890,CLDX
891,"['0000744218', '1231']"
892,CLF
893,"['0000764065', '1231']"
894,CLFD
895,"['0000796505', '0930']"
896,CLGX
897,"['0000036047', '1231']"
898,CLH
899,"['0000822818', '1231']"
900,CLI
901,"['0000924901', '1231']"
902,CLMT
903,"['0001340122', '1231']"
904,CLNE
905,"['0001368265', '1231']"
906,CLNY
907,"['0001679688', '1231']"
908,CLR
909,"['0000732834', '1231']"
910,CLRO
911,"['0000840715', '1231']"
912,CLS
913,"['1231', '40']"
914,CLSN
915,"['0000749647', '1231']"
916,CLUB
917,"['0001281774', '1231']"
918,CLVS
919,"['0001466301', '1231']"
920,CLW
921,"['0001441236', '1231']"
922,CLX
923,"['0000021076', '0630']"
924,CM
925,"['0001045520', '40']"
926,CMA
927,"['0000028412', '1231']"
928,CMC
929,"['0000022444', '0831']"
930,CMCO
931,"['0001005229', '0331']"
932,CMCSA
933,"['0001166691', '1231']"
934,CME
935,"['0001156375', '1231']"
936,CMG
937,"['0001058090', '1231']"
938,CMI
939,"['0000026172', '1231']"
940,CMLS
941,"['0001058623', '1231']"
942,CMO
943,"['0000766701', '1231']"
944,CMP
945,"['0001227654', '1231']"
946,CMRE
947,"['1231', '40']"
948,CMS
949,"['0000811156', '1231']"
950,CMTL
951,"['0000023197', '0731']"
952,CNA
953,"['0000021175', '1231']"
954,CNC
955,"['0001071739', '1231']"
956,CNI
957,"['1231', '40']"
958,CNK
959,"['0001385280', '1231']"
960,CNMD
961,"['0000816956', '1231']"
962,CNO
963,"['0001224608', '1231']"
964,CNP
965,"['0001130310', '1231']"
966,CNQ
967,"['1231', '40']"
968,CNS
969,"['0001284812', '1231']"
970,CNSL
971,"['0001304421', '1231']"
972,CNTY
